Designator,Mid X,Mid Y,Rotation,Layer
BZ1,58.039,-136.398,0.0,top
C1,65.121,-89.112,0.0,top
C10,55.245,-64.135,90.0,top
C11,75.565,-89.752,0.0,bottom
C12,62.865,-64.135,90.0,top
C13,70.866,-63.881,270.0,top
C14,100.33,-85.6996,90.0,bottom
C15,107.3,-85.6996,90.0,bottom
C16,114.3,-85.6996,90.0,bottom
C2,65.121,-73.877,0.0,top
C3,75.5265,-87.212,0.0,bottom
C4,75.509,-74.512,0.0,bottom
C5,89.027,-60.706,90.0,top
C6,86.487,-60.706,90.0,top
C7,64.897,-118.6434,180.0,top
C8,64.867,-126.7714,180.0,top
C9,81.026,-63.881,270.0,top
D1,85.344,-78.449,0.0,top
D10,95.386,-121.988,0.0,top
D11,110.352,-115.765,270.0,top
D12,95.386,-139.133,0.0,top
D13,110.352,-132.91,270.0,top
D14,100.33,-85.254,90.0,top
D15,107.3,-85.254,90.0,top
D16,114.3,-85.254,90.0,top
D2,85.344,-82.259,0.0,top
D3,54.7995,-110.363,0.0,top
D4,54.7487,-95.8088,0.0,top
D5,54.7995,-106.764666,0.0,top
D6,95.386,-104.843,0.0,top
D7,54.7995,-99.568,0.0,top
D8,54.7995,-103.166333,0.0,top
D9,110.352,-98.62,270.0,top
J1,56.501,-80.842,180.0,top
J10,93.6602,-128.3716,270.0,top
J2,129.26,-69.505,90.0,top
J3,145.975,-82.99,180.0,top
J4,146.05,-68.49,180.0,top
J5,128.985,-84.245,270.0,top
J6,140.2842,-99.2378,90.0,top
J7,140.2842,-116.3828,90.0,top
J8,140.2842,-133.5278,90.0,top
J9,93.6602,-111.0488,270.0,top
K1,122.552,-99.28,0.0,top
K2,122.552,-116.23,0.0,top
K3,122.552,-133.18,0.0,top
Q1,80.141,-78.187,180.0,top
Q2,80.141,-82.442,0.0,top
Q3,58.039,-136.525,180.0,bottom
Q4,110.302,-104.6675,270.0,bottom
Q5,110.302,-121.8125,270.0,bottom
Q6,110.302,-138.9575,270.0,bottom
R1,80.671,-74.512,0.0,top
R10,75.539,-77.052,180.0,bottom
R11,114.935,-65.024,180.0,top
R12,114.935,-61.214,180.0,top
R13,60.452,-106.764666,0.0,top
R14,64.897,-124.333,0.0,top
R15,60.452,-99.568,0.0,top
R16,60.452,-103.166333,0.0,top
R17,67.564,-135.636,180.0,bottom
R18,67.564,-138.049,180.0,bottom
R19,64.897,-116.205,0.0,top
R2,80.671,-85.942,0.0,top
R20,94.243,-98.62,90.0,top
R21,94.243,-115.765,90.0,top
R22,107.061,-115.765,270.0,top
R23,107.061,-98.62,90.0,top
R24,94.243,-132.91,90.0,top
R25,107.061,-132.91,270.0,top
R26,96.266,-85.598,90.0,top
R3,86.487,-73.787,90.0,bottom
R4,86.36,-86.995,270.0,bottom
R5,60.452,-110.363,180.0,top
R6,60.5907,-95.8088,180.0,top
R7,75.5565,-82.132,0.0,bottom
R8,75.5565,-84.657,180.0,bottom
R9,75.539,-79.592,180.0,bottom
RV1,75.565,-105.029,90.0,top
RV2,83.185,-105.029,90.0,top
SW1,72.611,-71.617,0.0,top
SW2,72.786,-89.397,0.0,top
SW3,57.023,-117.221,0.0,top
SW4,57.023,-125.3646,0.0,top
U1,101.714,-66.924,0.0,top
U2,73.152,-80.507,270.0,top
U3,75.946,-62.611,270.0,top
U4,100.721,-98.996,0.0,top
U5,100.721,-116.141,0.0,top
U6,100.721,-133.286,0.0,top
Y1,65.151,-81.397,270.0,top
